id,SKU,Descripcion,PrecioLista,Precio Distribuidor,idProveedor,Activo,Fotografia,Especificacion,Video,Status,Unidad, Moneda,Categorizacion
 ,9109,TOALL SENC NUVA CR, ,1075.0,,,http://portal.helvex.com.mx/images/productos/9109.jpg,,,,ST,MXN,
 ,9116,REPISA CRISTAL 45CM NUVA CR, ,2424.0,,,http://portal.helvex.com.mx/images/productos/9116.jpg,,,,ST,MXN,
 ,9117,PORTAPAPEL SENC NUVA CR, ,803.0,,,http://portal.helvex.com.mx/images/productos/9117.jpg,,,,ST,MXN,
 ,9124,PORTATOALL MULTIPLE CTOALL NUVA CR, ,2702.0,,,http://portal.helvex.com.mx/images/productos/9124.jpg,,,,ST,MXN,
 ,9126,REPISA CRISTAL 60CM NUVA CR, ,2424.0,,,http://portal.helvex.com.mx/images/productos/9126.jpg,,,,ST,MXN,
 ,9128,JAB SENC NUVA CR, ,1352.0,,,http://portal.helvex.com.mx/images/productos/9128.jpg,,,,ST,MXN,
 ,9148,JAB DOSIF CRISTAL NUVA CR, ,1812.0,,,http://portal.helvex.com.mx/images/productos/9148.jpg,,,,ST,MXN,
 ,14104,PORTAPAPEL SENC KUBICA CR, ,865.0,,,http://portal.helvex.com.mx/images/productos/14104.jpg,,,,ST,MXN,
 ,14105,TOALL BARRA KUBICA CR, ,1874.0,,,http://portal.helvex.com.mx/images/productos/14105.jpg,,,,ST,MXN,
 ,14106,GANCHO DBL KUBICA CR, ,732.0,,,http://portal.helvex.com.mx/images/productos/14106.jpg,,,,ST,MXN,
 ,14107,CEP KUBICA CR, ,1083.0,,,http://portal.helvex.com.mx/images/productos/14107.jpg,,,,ST,MXN,
 ,14108,JAB SENC KUBICA CR, ,1450.0,,,http://portal.helvex.com.mx/images/productos/14108.jpg,,,,ST,MXN,
 ,14109,TOALL SENC KUBICA CR, ,1159.0,,,http://portal.helvex.com.mx/images/productos/14109.jpg,,,,ST,MXN,
 ,14148,JAB DOSIF CRISTAL KUBICA CR, ,1932.0,,,http://portal.helvex.com.mx/images/productos/14148.jpg,,,,ST,MXN,
 ,15104,PORTAPAPEL SENC PREMIER CR, ,805.0,,,http://portal.helvex.com.mx/images/productos/15104.jpg,,,,ST,MXN,
 ,15105,TOALL BARRA PREMIER CR, ,1443.0,,,http://portal.helvex.com.mx/images/productos/15105.jpg,,,,ST,MXN,
 ,15106,GANCHO SENC PREMIER CR, ,352.0,,,http://portal.helvex.com.mx/images/productos/15106.jpg,,,,ST,MXN,
 ,15107,CEP PREMIER CR, ,726.0,,,http://portal.helvex.com.mx/images/productos/15107.jpg,,,,ST,MXN,
 ,15108,JAB SENC PREMIER CR, ,967.0,,,http://portal.helvex.com.mx/images/productos/15108.jpg,,,,ST,MXN,
 ,15109,TOALL SENC PREMIER CR, ,777.0,,,http://portal.helvex.com.mx/images/productos/15109.jpg,,,,ST,MXN,
 ,16104,PORTAPAPEL SENC VERTIKA CR, ,835.0,,,http://portal.helvex.com.mx/images/productos/16104.jpg,,,,ST,MXN,
 ,16105,TOALL BARRA VERTIKA CR, ,1813.0,,,http://portal.helvex.com.mx/images/productos/16105.jpg,,,,ST,MXN,
 ,16106,GANCHO DBL VERTIKA CR, ,703.0,,,http://portal.helvex.com.mx/images/productos/16106.jpg,,,,ST,MXN,
 ,16107,CEP VERTIKA CR, ,1172.0,,,http://portal.helvex.com.mx/images/productos/16107.jpg,,,,ST,MXN,
 ,16108,JAB SENC VERTIKA CR, ,1172.0,,,http://portal.helvex.com.mx/images/productos/16108.jpg,,,,ST,MXN,
 ,16109,TOALL SENC VERTIKA CR, ,1107.0,,,http://portal.helvex.com.mx/images/productos/16109.jpg,,,,ST,MXN,
 ,16119,PORTAPAPEL VERTIKA DOBLE CR, ,1221.0,,,http://portal.helvex.com.mx/images/productos/16119.jpg,,,,ST,MXN,
 ,18104,PORTAPAPEL SENC SPIRA CR, ,756.0,,,http://portal.helvex.com.mx/images/productos/18104.jpg,,,,ST,MXN,
 ,18105,TOALL BARRA SPIRA CR, ,1636.0,,,http://portal.helvex.com.mx/images/productos/18105.jpg,,,,ST,MXN,
 ,18106,GANCHO SENC SPIRA CR, ,639.0,,,http://portal.helvex.com.mx/images/productos/18106.jpg,,,,ST,MXN,
 ,18107,PORTACEP SPIRA CR, ,946.0,,,http://portal.helvex.com.mx/images/productos/18107.jpg,,,,ST,MXN,
 ,18109,TOALL SENC SPIRA CR, ,1010.0,,,http://portal.helvex.com.mx/images/productos/18109.jpg,,,,ST,MXN,
 ,19105,TOALLERO DE BARRA MAGNA DX CR, ,1767.0,,,http://portal.helvex.com.mx/images/productos/19105.jpg,,,,ST,MXN,
 ,19106,GANCHO SENC MAGNA DX CR, ,691.0,,,http://portal.helvex.com.mx/images/productos/19106.jpg,,,,ST,MXN,
